Assembly Accession	Assembly Name	Annotation Release Date	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Species
GCF_022429605.1	ASM2242960v1	2025-04-16	Clostridium perfringens		Qinghai-1					GCF_022429605.1-RS_2025_04_16	Complete Genome	2022-03-01		2	Clostridium perfringens
GCF_029580895.1	ASM2958089v1	2025-04-16	Clostridium perfringens		ENRHS4					GCF_029580895.1-RS_2025_04_16	Complete Genome	2023-04-04		2	Clostridium perfringens
GCF_029580775.1	ASM2958077v1	2025-04-16	Clostridium perfringens		ENRHS7					GCF_029580775.1-RS_2025_04_16	Complete Genome	2023-04-04		2	Clostridium perfringens
GCF_001579785.1	ASM157978v1	2025-04-15	Clostridium perfringens		JP838					GCF_001579785.1-RS_2025_04_15	Complete Genome	2016-03-03		5	Clostridium perfringens
GCF_001579765.1	ASM157976v1	2025-04-15	Clostridium perfringens		JP55					GCF_001579765.1-RS_2025_04_15	Complete Genome	2016-03-03		6	Clostridium perfringens
GCF_016026675.1	ASM1602667v1	2025-04-15	Clostridium perfringens		FDAARGOS_931					GCF_016026675.1-RS_2025_04_15	Complete Genome	2020-12-14		3	Clostridium perfringens
GCF_016027155.1	ASM1602715v1	2025-04-15	Clostridium perfringens		FDAARGOS_904					GCF_016027155.1-RS_2025_04_15	Complete Genome	2020-12-14		3	Clostridium perfringens
GCF_016026995.1	ASM1602699v1	2025-04-15	Clostridium perfringens		FDAARGOS_905					GCF_016026995.1-RS_2025_04_15	Complete Genome	2020-12-14		2	Clostridium perfringens
GCF_002355795.1	ASM235579v1	2025-04-15	Clostridium perfringens		CBA7123					GCF_002355795.1-RS_2025_04_15	Complete Genome	2016-08-24		2	Clostridium perfringens
GCF_000009685.1	ASM968v1	2025-04-15	Clostridium perfringens str. 13		13					GCF_000009685.1-RS_2025_04_15	Complete Genome	2002-01-24		2	Clostridium perfringens
GCF_037502555.1	ASM3750255v1	2025-04-14	Clostridium perfringens		Z1323HCP0030					GCF_037502555.1-RS_2025_04_14	Complete Genome	2024-04-05		3	Clostridium perfringens
GCF_037497135.1	ASM3749713v1	2025-04-14	Clostridium perfringens		Z1323HCP0054					GCF_037497135.1-RS_2025_04_14	Complete Genome	2024-04-05		3	Clostridium perfringens
GCF_037506515.1	ASM3750651v1	2025-04-14	Clostridium perfringens		Z1323HCP0008					GCF_037506515.1-RS_2025_04_14	Complete Genome	2024-04-05		4	Clostridium perfringens
GCF_037503705.1	ASM3750370v1	2025-04-14	Clostridium perfringens		Z1323HCP0027					GCF_037503705.1-RS_2025_04_14	Complete Genome	2024-04-05		4	Clostridium perfringens
GCF_037504455.1	ASM3750445v1	2025-04-14	Clostridium perfringens		Z1323HCP0019					GCF_037504455.1-RS_2025_04_14	Complete Genome	2024-04-05		4	Clostridium perfringens
GCF_037505185.1	ASM3750518v1	2025-04-14	Clostridium perfringens		Z1323HCP0016					GCF_037505185.1-RS_2025_04_14	Complete Genome	2024-04-05		5	Clostridium perfringens
GCF_037524795.1	ASM3752479v1	2025-04-14	Clostridium perfringens		Z1322HCP0002					GCF_037524795.1-RS_2025_04_14	Complete Genome	2024-04-05		4	Clostridium perfringens
GCF_037492235.1	ASM3749223v1	2025-04-14	Clostridium perfringens		Z1323HCP0095					GCF_037492235.1-RS_2025_04_14	Complete Genome	2024-04-05		5	Clostridium perfringens
GCF_037499725.1	ASM3749972v1	2025-04-14	Clostridium perfringens		Z1323HCP0034					GCF_037499725.1-RS_2025_04_14	Complete Genome	2024-04-05		4	Clostridium perfringens
GCF_037523885.1	ASM3752388v1	2025-04-14	Clostridium perfringens		Z1322HCP0005					GCF_037523885.1-RS_2025_04_14	Complete Genome	2024-04-05		4	Clostridium perfringens
GCF_902386435.1	UHGG_MGYG-HGUT-02372	2025-04-13	Clostridium perfringens					MGYG-HGUT-02372		GCF_902386435.1-RS_2025_04_13	Complete Genome	2019-08-10		1	Clostridium perfringens
GCF_002312985.1	ASM231298v1	2025-04-12	Clostridium perfringens		LLY_N11					GCF_002312985.1-RS_2025_04_12	Complete Genome	2017-09-19		4	Clostridium perfringens
GCF_030656655.1	ASM3065665v1	2025-08-10	Corynebacterium diphtheriae		CMCC38007					GCF_030656655.1-RS_2025_08_10	Complete Genome	2023-08-06		1	Corynebacterium diphtheriae
GCF_051549835.1	ASM5154983v1	2025-07-30	Corynebacterium diphtheriae		AML_2433					GCF_051549835.1-RS_2025_07_30	Complete Genome	2025-07-31		1	Corynebacterium diphtheriae
GCF_030408695.1	ASM3040869v1	2025-07-07	Corynebacterium diphtheriae		DSM 44123					GCF_030408695.1-RS_2025_07_07	Complete Genome	2023-07-05		1	Corynebacterium diphtheriae
GCF_004758745.1	ASM475874v1	2025-04-30	Corynebacterium diphtheriae		TH1526					GCF_004758745.1-RS_2025_04_30	Complete Genome	2019-04-09		1	Corynebacterium diphtheriae
GCF_963556635.1	20e8f080	2025-04-26	Corynebacterium diphtheriae					20e8f080		GCF_963556635.1-RS_2025_04_26	Complete Genome	2023-10-19		1	Corynebacterium diphtheriae
GCF_963556565.1	dbde5ce5	2025-04-26	Corynebacterium diphtheriae					dbde5ce5		GCF_963556565.1-RS_2025_04_26	Complete Genome	2023-10-19		1	Corynebacterium diphtheriae
GCF_963556575.1	a17b6a40	2025-04-26	Corynebacterium diphtheriae					a17b6a40		GCF_963556575.1-RS_2025_04_26	Complete Genome	2023-10-19		1	Corynebacterium diphtheriae
GCF_002843135.1	ASM284313v1	2025-04-15	Corynebacterium diphtheriae bv. mitis str. ISS 3319		ISS 3319					GCF_002843135.1-RS_2025_04_15	Complete Genome	2017-12-14		2	Corynebacterium diphtheriae
GCF_021560255.1	ASM2156025v1	2025-04-13	Corynebacterium diphtheriae		CD1036					GCF_021560255.1-RS_2025_04_13	Complete Genome	2022-01-24		1	Corynebacterium diphtheriae
GCF_021560235.1	ASM2156023v1	2025-04-02	Corynebacterium diphtheriae		CD1040					GCF_021560235.1-RS_2025_04_02	Complete Genome	2022-01-24		1	Corynebacterium diphtheriae
GCF_021560275.1	ASM2156027v1	2025-04-02	Corynebacterium diphtheriae		CD1033					GCF_021560275.1-RS_2025_04_02	Complete Genome	2022-01-24		1	Corynebacterium diphtheriae
GCF_021560315.1	ASM2156031v1	2025-04-02	Corynebacterium diphtheriae		CD1008					GCF_021560315.1-RS_2025_04_02	Complete Genome	2022-01-24		1	Corynebacterium diphtheriae
GCF_021560335.1	ASM2156033v1	2025-04-02	Corynebacterium diphtheriae		CD1005					GCF_021560335.1-RS_2025_04_02	Complete Genome	2022-01-24		1	Corynebacterium diphtheriae
GCF_021560295.1	ASM2156029v1	2025-04-02	Corynebacterium diphtheriae		CD1032					GCF_021560295.1-RS_2025_04_02	Complete Genome	2022-01-24		1	Corynebacterium diphtheriae
GCF_020736125.1	ASM2073612v1	2025-04-02	Corynebacterium diphtheriae		FDAARGOS_1552					GCF_020736125.1-RS_2025_04_02	Complete Genome	2021-11-03		1	Corynebacterium diphtheriae
GCF_000241895.1	ASM24189v1	2025-04-02	Corynebacterium diphtheriae 241		241					GCF_000241895.1-RS_2025_04_02	Complete Genome	2012-01-10		1	Corynebacterium diphtheriae
GCF_000242775.1	ASM24277v1	2025-04-01	Corynebacterium diphtheriae HC03		HC03					GCF_000242775.1-RS_2025_04_01	Complete Genome	2012-01-13		1	Corynebacterium diphtheriae
GCF_024969505.1	ASM2496950v1	2025-04-01	Corynebacterium diphtheriae bv. mitis		230/19					GCF_024969505.1-RS_2025_04_01	Complete Genome	2022-09-06		1	Corynebacterium diphtheriae
GCF_024969545.1	ASM2496954v1	2025-04-01	Corynebacterium diphtheriae bv. mitis		632/19					GCF_024969545.1-RS_2025_04_01	Complete Genome	2022-09-06		1	Corynebacterium diphtheriae
GCF_024969445.1	ASM2496944v1	2025-04-01	Corynebacterium diphtheriae bv. mitis		6272/17					GCF_024969445.1-RS_2025_04_01	Complete Genome	2022-09-06		1	Corynebacterium diphtheriae
GCF_024968705.1	ASM2496870v1	2025-04-01	Corynebacterium diphtheriae bv. mitis		38009/20					GCF_024968705.1-RS_2025_04_01	Complete Genome	2022-09-06		1	Corynebacterium diphtheriae
GCF_024968525.1	ASM2496852v1	2025-04-01	Corynebacterium diphtheriae bv. mitis		824/20					GCF_024968525.1-RS_2025_04_01	Complete Genome	2022-09-06		1	Corynebacterium diphtheriae
GCF_014826095.1	ASM1482609v1	2025-03-31	Corynebacterium diphtheriae bv. mitis		PC0646					GCF_014826095.1-RS_2025_03_31	Complete Genome	2020-09-30		1	Corynebacterium diphtheriae
GCF_001457455.1	NCTC11397	2025-03-30	Corynebacterium diphtheriae		NCTC11397					GCF_001457455.1-RS_2025_03_30	Complete Genome	2015-03-22		1	Corynebacterium diphtheriae
GCF_902809765.1	NCTC11397	2025-03-30	Corynebacterium diphtheriae					NCTC11397		GCF_902809765.1-RS_2025_03_30	Complete Genome	2020-02-26		1	Corynebacterium diphtheriae
GCF_020736085.1	ASM2073608v1	2025-03-30	Corynebacterium diphtheriae subsp. diphtheriae		FDAARGOS_1554					GCF_020736085.1-RS_2025_03_30	Complete Genome	2021-11-03		1	Corynebacterium diphtheriae
GCF_021560115.1	ASM2156011v1	2025-03-30	Corynebacterium diphtheriae		CD1009					GCF_021560115.1-RS_2025_03_30	Complete Genome	2022-01-24		2	Corynebacterium diphtheriae
GCF_000255155.1	ASM25515v1	2025-03-27	Corynebacterium diphtheriae HC02		HC02					GCF_000255155.1-RS_2025_03_27	Complete Genome	2012-01-13		1	Corynebacterium diphtheriae
GCF_000255215.1	ASM25521v1	2025-03-27	Corynebacterium diphtheriae CDCE 8392		CDCE 8392					GCF_000255215.1-RS_2025_03_27	Complete Genome	2012-01-13		1	Corynebacterium diphtheriae
GCF_000255275.1	ASM25527v1	2025-03-20	Corynebacterium diphtheriae PW8		PW8					GCF_000255275.1-RS_2025_03_20	Complete Genome	2012-01-13		1	Corynebacterium diphtheriae
GCF_000195815.1	ASM19581v1	2025-02-16	Corynebacterium diphtheriae NCTC 13129		NCTC 13129					GCF_000195815.1-RS_2025_02_16	Complete Genome	2003-11-10		1	Corynebacterium diphtheriae
GCF_003194045.1	ASM319404v1	2025-02-07	Corynebacterium diphtheriae		BQ11					GCF_003194045.1-RS_2025_02_07	Complete Genome	2018-06-06		1	Corynebacterium diphtheriae
GCF_900638705.1	59178_D01	2025-02-07	Corynebacterium diphtheriae		NCTC3529					GCF_900638705.1-RS_2025_02_07	Complete Genome	2018-12-20		1	Corynebacterium diphtheriae
GCF_001902275.1	ASM190227v1	2025-02-07	Corynebacterium diphtheriae		B-D-16-78					GCF_001902275.1-RS_2025_02_07	Complete Genome	2016-12-13		1	Corynebacterium diphtheriae
GCF_900638715.1	59178_E01	2025-02-07	Corynebacterium diphtheriae		NCTC7838					GCF_900638715.1-RS_2025_02_07	Complete Genome	2018-12-20		1	Corynebacterium diphtheriae
GCF_021052705.1	ASM2105270v1	2025-02-07	Corynebacterium diphtheriae		SCPM-O-B-4453					GCF_021052705.1-RS_2025_02_07	Complete Genome	2021-12-06		1	Corynebacterium diphtheriae
GCF_000241875.1	ASM24187v1	2025-02-06	Corynebacterium diphtheriae 31A		31A					GCF_000241875.1-RS_2025_02_06	Complete Genome	2012-01-10		1	Corynebacterium diphtheriae
GCF_000255175.1	ASM25517v1	2025-02-06	Corynebacterium diphtheriae C7 (beta)		C7 (beta)					GCF_000255175.1-RS_2025_02_06	Complete Genome	2012-01-13		1	Corynebacterium diphtheriae
GCF_000241935.1	ASM24193v1	2025-02-06	Corynebacterium diphtheriae BH8		BH8					GCF_000241935.1-RS_2025_02_06	Complete Genome	2012-01-10		1	Corynebacterium diphtheriae
GCF_000255195.1	ASM25519v1	2025-02-06	Corynebacterium diphtheriae HC04		HC04					GCF_000255195.1-RS_2025_02_06	Complete Genome	2012-01-13		1	Corynebacterium diphtheriae
GCF_000241915.1	ASM24191v1	2025-02-06	Corynebacterium diphtheriae INCA 402		INCA 402					GCF_000241915.1-RS_2025_02_06	Complete Genome	2012-01-10		1	Corynebacterium diphtheriae
GCF_000255235.1	ASM25523v1	2025-02-06	Corynebacterium diphtheriae HC01		HC01					GCF_000255235.1-RS_2025_02_06	Complete Genome	2012-01-13		1	Corynebacterium diphtheriae
GCF_000255255.1	ASM25525v1	2025-02-06	Corynebacterium diphtheriae VA01		VA01					GCF_000255255.1-RS_2025_02_06	Complete Genome	2012-01-13		1	Corynebacterium diphtheriae
GCF_021560215.1	ASM2156021v1	2025-01-30	Corynebacterium diphtheriae		CD1075					GCF_021560215.1-RS_2025_01_30	Complete Genome	2022-01-24		1	Corynebacterium diphtheriae
GCF_020736105.1	ASM2073610v1	2024-12-22	Corynebacterium diphtheriae		FDAARGOS_1553					GCF_020736105.1-RS_2024_12_22	Complete Genome	2021-11-03		1	Corynebacterium diphtheriae
GCF_002073375.2	ASM207337v2	2024-11-20	Corynebacterium diphtheriae		FDAARGOS_197					GCF_002073375.2-RS_2024_11_20	Complete Genome	2018-02-23		1	Corynebacterium diphtheriae
GCF_024968405.1	ASM2496840v1	2024-09-20	Corynebacterium diphtheriae bv. gravis		453/18					GCF_024968405.1-RS_2024_09_20	Complete Genome	2022-09-06		1	Corynebacterium diphtheriae
GCF_024969465.1	ASM2496946v1	2024-09-20	Corynebacterium diphtheriae bv. gravis		5521/17					GCF_024969465.1-RS_2024_09_20	Complete Genome	2022-09-06		1	Corynebacterium diphtheriae
GCF_024968285.1	ASM2496828v1	2024-09-20	Corynebacterium diphtheriae bv. gravis		49390/20					GCF_024968285.1-RS_2024_09_20	Complete Genome	2022-09-06		1	Corynebacterium diphtheriae
GCF_024969365.1	ASM2496936v1	2024-09-20	Corynebacterium diphtheriae bv. gravis		14225/20					GCF_024969365.1-RS_2024_09_20	Complete Genome	2022-09-06		1	Corynebacterium diphtheriae
GCF_002155265.1	ASM215526v1	2025-08-23	Corynebacterium pseudotuberculosis		ATCC 19410					GCF_002155265.1-RS_2025_08_23	Complete Genome	2017-05-22		1	Corynebacterium pseudotuberculosis
GCF_000221625.1	ASM22162v1	2025-08-18	Corynebacterium pseudotuberculosis PAT10		PAT10					GCF_000221625.1-RS_2025_08_18	Complete Genome	2011-07-27		1	Corynebacterium pseudotuberculosis
GCF_029674585.1	ASM2967458v1	2025-08-15	Corynebacterium pseudotuberculosis		BA3					GCF_029674585.1-RS_2025_08_15	Complete Genome	2023-04-11		1	Corynebacterium pseudotuberculosis
GCF_024296985.1	ASM2429698v1	2025-07-25	Corynebacterium pseudotuberculosis		Cp_Eq_BR01					GCF_024296985.1-RS_2025_07_25	Complete Genome	2022-07-17		1	Corynebacterium pseudotuberculosis
GCF_005341445.1	ASM534144v1	2025-07-24	Corynebacterium pseudotuberculosis		Cap5W					GCF_005341445.1-RS_2025_07_24	Complete Genome	2019-05-14		1	Corynebacterium pseudotuberculosis
GCF_005341465.1	ASM534146v1	2025-07-24	Corynebacterium pseudotuberculosis		Cap4W					GCF_005341465.1-RS_2025_07_24	Complete Genome	2019-05-14		1	Corynebacterium pseudotuberculosis
GCF_002009385.1	ASM200938v1	2025-07-18	Corynebacterium pseudotuberculosis		phoP					GCF_002009385.1-RS_2025_07_18	Complete Genome	2017-03-02		1	Corynebacterium pseudotuberculosis
GCF_002953955.1	ASM295395v1	2025-07-18	Corynebacterium pseudotuberculosis		OVI03					GCF_002953955.1-RS_2025_07_18	Complete Genome	2018-02-06		1	Corynebacterium pseudotuberculosis
GCF_002953275.1	ASM295327v1	2025-07-18	Corynebacterium pseudotuberculosis		CAP3W					GCF_002953275.1-RS_2025_07_18	Complete Genome	2018-02-05		1	Corynebacterium pseudotuberculosis
GCF_002009415.1	ASM200941v1	2025-07-16	Corynebacterium pseudotuberculosis		MIC6					GCF_002009415.1-RS_2025_07_16	Complete Genome	2017-03-02		1	Corynebacterium pseudotuberculosis
GCF_000152065.3	ASM15206v3	2025-06-30	Corynebacterium pseudotuberculosis I19		I19					GCF_000152065.3-RS_2025_06_30	Complete Genome	2019-12-13		1	Corynebacterium pseudotuberculosis
GCF_000144935.2	ASM14493v3	2025-06-30	Corynebacterium pseudotuberculosis 1002		1002					GCF_000144935.2-RS_2025_06_30	Complete Genome	2020-01-27		1	Corynebacterium pseudotuberculosis
GCF_004353245.1	ASM435324v1	2025-04-19	Corynebacterium pseudotuberculosis		E7					GCF_004353245.1-RS_2025_04_19	Complete Genome	2019-03-15		1	Corynebacterium pseudotuberculosis
GCF_004323775.1	ASM432377v1	2025-04-11	Corynebacterium pseudotuberculosis		Cap1R					GCF_004323775.1-RS_2025_04_11	Complete Genome	2019-03-04		1	Corynebacterium pseudotuberculosis
GCF_000259155.4	ASM25915v4	2025-04-11	Corynebacterium pseudotuberculosis 31		31					GCF_000259155.4-RS_2025_04_11	Complete Genome	2019-12-13		1	Corynebacterium pseudotuberculosis
GCF_029674565.1	ASM2967456v1	2025-04-10	Corynebacterium pseudotuberculosis		G1					GCF_029674565.1-RS_2025_04_10	Complete Genome	2023-04-11		1	Corynebacterium pseudotuberculosis
GCF_002794435.1	ASM279443v1	2025-04-09	Corynebacterium pseudotuberculosis		PA08			A19		GCF_002794435.1-RS_2025_04_09	Complete Genome	2017-11-21		1	Corynebacterium pseudotuberculosis
GCF_001579825.2	ASM157982v2	2025-04-08	Corynebacterium pseudotuberculosis		MB11					GCF_001579825.2-RS_2025_04_08	Complete Genome	2020-01-16		1	Corynebacterium pseudotuberculosis
GCF_001969165.3	ASM196916v3	2025-04-07	Corynebacterium pseudotuberculosis		MB302					GCF_001969165.3-RS_2025_04_07	Complete Genome	2019-12-16		1	Corynebacterium pseudotuberculosis
GCF_001456175.1	ASM145617v1	2025-04-07	Corynebacterium pseudotuberculosis		PA01					GCF_001456175.1-RS_2025_04_07	Complete Genome	2015-12-03		1	Corynebacterium pseudotuberculosis
GCF_000248375.2	ASM24837v2	2025-04-07	Corynebacterium pseudotuberculosis 316		316					GCF_000248375.2-RS_2025_04_07	Complete Genome	2019-12-16		1	Corynebacterium pseudotuberculosis
GCF_000265545.3	ASM26554v3	2025-04-06	Corynebacterium pseudotuberculosis Cp162		Cp162					GCF_000265545.3-RS_2025_04_06	Complete Genome	2019-12-16		1	Corynebacterium pseudotuberculosis
GCF_000227605.3	ASM22760v3	2025-04-06	Corynebacterium pseudotuberculosis CIP 52.97		CIP 52.97					GCF_000227605.3-RS_2025_04_06	Complete Genome	2019-12-13		1	Corynebacterium pseudotuberculosis
GCF_004332355.1	ASM433235v1	2025-04-04	Corynebacterium pseudotuberculosis		38MAT					GCF_004332355.1-RS_2025_04_04	Complete Genome	2019-03-07		1	Corynebacterium pseudotuberculosis
GCF_004941425.1	ASM494142v1	2025-04-04	Corynebacterium pseudotuberculosis		OVI1FL					GCF_004941425.1-RS_2025_04_04	Complete Genome	2019-04-30		1	Corynebacterium pseudotuberculosis
GCF_004771435.1	ASM477143v1	2025-04-04	Corynebacterium pseudotuberculosis		Cap1C					GCF_004771435.1-RS_2025_04_04	Complete Genome	2019-04-11		1	Corynebacterium pseudotuberculosis
GCF_000144675.2	ASM14467v2	2025-04-04	Corynebacterium pseudotuberculosis C231		C231					GCF_000144675.2-RS_2025_04_04	Complete Genome	2020-01-16		1	Corynebacterium pseudotuberculosis
GCF_009762635.1	ASM976263v1	2025-04-03	Corynebacterium pseudotuberculosis		sigB					GCF_009762635.1-RS_2025_04_03	Complete Genome	2019-12-18		1	Corynebacterium pseudotuberculosis
GCF_009905175.1	ASM990517v1	2025-04-03	Corynebacterium pseudotuberculosis		SigD					GCF_009905175.1-RS_2025_04_03	Complete Genome	2020-01-19		1	Corynebacterium pseudotuberculosis
GCF_009762655.1	ASM976265v1	2025-04-03	Corynebacterium pseudotuberculosis		SigH					GCF_009762655.1-RS_2025_04_03	Complete Genome	2019-12-18		1	Corynebacterium pseudotuberculosis
GCF_002072715.1	ASM207271v1	2025-04-03	Corynebacterium pseudotuberculosis		SigmaE					GCF_002072715.1-RS_2025_04_03	Complete Genome	2017-03-27		1	Corynebacterium pseudotuberculosis
GCF_004332375.1	ASM433237v1	2025-04-03	Corynebacterium pseudotuberculosis		04MAT					GCF_004332375.1-RS_2025_04_03	Complete Genome	2019-03-07		1	Corynebacterium pseudotuberculosis
GCF_000143705.2	ASM14370v2	2025-04-03	Corynebacterium pseudotuberculosis FRC41		FRC41					GCF_000143705.2-RS_2025_04_03	Complete Genome	2019-12-13		1	Corynebacterium pseudotuberculosis
GCF_001026945.2	ASM102694v2	2025-04-02	Corynebacterium pseudotuberculosis		29156					GCF_001026945.2-RS_2025_04_02	Complete Genome	2020-01-27		1	Corynebacterium pseudotuberculosis
GCF_004193655.1	ASM419365v1	2025-04-02	Corynebacterium pseudotuberculosis		CAPNAT1					GCF_004193655.1-RS_2025_04_02	Complete Genome	2019-02-13		1	Corynebacterium pseudotuberculosis
GCF_004193635.1	ASM419363v1	2025-04-02	Corynebacterium pseudotuberculosis		CR07					GCF_004193635.1-RS_2025_04_02	Complete Genome	2019-02-13		1	Corynebacterium pseudotuberculosis
GCF_004193955.1	ASM419395v1	2025-04-02	Corynebacterium pseudotuberculosis		87MAT					GCF_004193955.1-RS_2025_04_02	Complete Genome	2019-02-13		1	Corynebacterium pseudotuberculosis
GCF_004295625.1	ASM429562v1	2025-04-02	Corynebacterium pseudotuberculosis		99MAT					GCF_004295625.1-RS_2025_04_02	Complete Genome	2019-02-25		1	Corynebacterium pseudotuberculosis
GCF_004193695.1	ASM419369v1	2025-04-02	Corynebacterium pseudotuberculosis		CAPMI05					GCF_004193695.1-RS_2025_04_02	Complete Genome	2019-02-13		1	Corynebacterium pseudotuberculosis
GCF_004323755.1	ASM432375v1	2025-04-02	Corynebacterium pseudotuberculosis		Cap8W					GCF_004323755.1-RS_2025_04_02	Complete Genome	2019-03-04		1	Corynebacterium pseudotuberculosis
GCF_003955905.1	ASM395590v1	2025-04-02	Corynebacterium pseudotuberculosis		OVIAF1					GCF_003955905.1-RS_2025_04_02	Complete Genome	2018-12-19		1	Corynebacterium pseudotuberculosis
GCF_004193675.1	ASM419367v1	2025-04-02	Corynebacterium pseudotuberculosis		CAPMI03					GCF_004193675.1-RS_2025_04_02	Complete Genome	2019-02-13		1	Corynebacterium pseudotuberculosis
GCF_003955885.1	ASM395588v1	2025-04-02	Corynebacterium pseudotuberculosis		Cap1W					GCF_003955885.1-RS_2025_04_02	Complete Genome	2018-12-19		1	Corynebacterium pseudotuberculosis
GCF_000814865.1	ASM81486v1	2025-04-02	Corynebacterium pseudotuberculosis		VD57					GCF_000814865.1-RS_2025_04_02	Complete Genome	2015-01-06		1	Corynebacterium pseudotuberculosis
GCF_001433475.1	ASM143347v1	2025-04-02	Corynebacterium pseudotuberculosis		1002B					GCF_001433475.1-RS_2025_04_02	Complete Genome	2015-11-05		1	Corynebacterium pseudotuberculosis
GCF_009762615.1	ASM976261v1	2025-04-02	Corynebacterium pseudotuberculosis		SigK					GCF_009762615.1-RS_2025_04_02	Complete Genome	2019-12-18		1	Corynebacterium pseudotuberculosis
GCF_000241855.1	ASM24185v1	2025-03-27	Corynebacterium pseudotuberculosis 3/99-5		3/99-5					GCF_000241855.1-RS_2025_03_27	Complete Genome	2012-01-10		1	Corynebacterium pseudotuberculosis
GCF_000227175.1	ASM22717v1	2025-03-27	Corynebacterium pseudotuberculosis 42/02-A		42/02-A					GCF_000227175.1-RS_2025_03_27	Complete Genome	2011-10-03		1	Corynebacterium pseudotuberculosis
GCF_000263755.5	ASM26375v3	2025-03-22	Corynebacterium pseudotuberculosis 258		258					GCF_000263755.5-RS_2025_03_22	Complete Genome	2019-12-13		1	Corynebacterium pseudotuberculosis
GCF_000258385.1	ASM25838v1	2025-03-20	Corynebacterium pseudotuberculosis 267		267					GCF_000258385.1-RS_2025_03_20	Complete Genome	2012-04-10		1	Corynebacterium pseudotuberculosis
GCF_052059955.1	ASM5205995v1	2025-08-16	Edwardsiella ictaluri		A21-00102					GCF_052059955.1-RS_2025_08_16	Complete Genome	2025-08-15	JBQERV01	4	Edwardsiella ictaluri
GCF_030347235.1	ASM3034723v1	2025-06-27	Edwardsiella ictaluri		YCH					GCF_030347235.1-RS_2025_06_27	Complete Genome	2023-06-22		3	Edwardsiella ictaluri
GCF_003074995.2	ASM307499v2	2025-04-02	Edwardsiella ictaluri		S07-698					GCF_003074995.2-RS_2025_04_02	Complete Genome	2021-10-12		3	Edwardsiella ictaluri
GCF_003054425.1	ASM305442v1	2025-04-02	Edwardsiella ictaluri		MS-17-156					GCF_003054425.1-RS_2025_04_02	Complete Genome	2018-04-17		3	Edwardsiella ictaluri
GCF_025665395.1	ASM2566539v1	2025-04-02	Edwardsiella ictaluri		E9-302					GCF_025665395.1-RS_2025_04_02	Complete Genome	2022-10-12		3	Edwardsiella ictaluri
GCF_025665375.1	ASM2566537v1	2025-04-01	Edwardsiella ictaluri		669					GCF_025665375.1-RS_2025_04_01	Complete Genome	2022-10-12		3	Edwardsiella ictaluri
GCF_003058405.2	ASM305840v2	2025-03-09	Edwardsiella ictaluri		S97-773					GCF_003058405.2-RS_2025_03_09	Complete Genome	2021-10-15		3	Edwardsiella ictaluri
GCF_047783105.1	ASM4778310v1	2025-02-17	Edwardsiella ictaluri		HCF-1					GCF_047783105.1-RS_2025_02_17	Complete Genome	2025-02-17		3	Edwardsiella ictaluri
GCF_047783115.1	ASM4778311v1	2025-02-17	Edwardsiella ictaluri		T3-F2 AAHRU					GCF_047783115.1-RS_2025_02_17	Complete Genome	2025-02-17		3	Edwardsiella ictaluri
GCF_047783205.1	ASM4778320v1	2025-02-17	Edwardsiella ictaluri		S94-1051					GCF_047783205.1-RS_2025_02_17	Complete Genome	2025-02-17		4	Edwardsiella ictaluri
GCF_047783175.1	ASM4778317v1	2025-02-17	Edwardsiella ictaluri		RE-33					GCF_047783175.1-RS_2025_02_17	Complete Genome	2025-02-17		6	Edwardsiella ictaluri
GCF_047783185.1	ASM4778318v1	2025-02-17	Edwardsiella ictaluri		EILO					GCF_047783185.1-RS_2025_02_17	Complete Genome	2025-02-17		3	Edwardsiella ictaluri
GCF_047783145.1	ASM4778314v1	2025-02-17	Edwardsiella ictaluri		HCF #4 Smooth					GCF_047783145.1-RS_2025_02_17	Complete Genome	2025-02-17		4	Edwardsiella ictaluri
GCF_047783135.1	ASM4778313v1	2025-02-17	Edwardsiella ictaluri		HCF #4 Rough					GCF_047783135.1-RS_2025_02_17	Complete Genome	2025-02-17		4	Edwardsiella ictaluri
GCF_047783215.1	ASM4778321v1	2025-02-17	Edwardsiella ictaluri		30IA NewJersey					GCF_047783215.1-RS_2025_02_17	Complete Genome	2025-02-17		2	Edwardsiella ictaluri
GCF_016070975.1	ASM1607097v1	2025-02-15	Edwardsiella ictaluri		T1-1					GCF_016070975.1-RS_2025_02_15	Complete Genome	2020-12-15		3	Edwardsiella ictaluri
GCF_016070795.1	ASM1607079v1	2025-02-15	Edwardsiella ictaluri		2234					GCF_016070795.1-RS_2025_02_15	Complete Genome	2020-12-15		4	Edwardsiella ictaluri
GCF_002076875.1	ASM207687v1	2025-02-08	Edwardsiella ictaluri		RUSVM-1					GCF_002076875.1-RS_2025_02_08	Complete Genome	2017-04-03		1	Edwardsiella ictaluri
GCF_000022885.2	ASM2288v2	2024-11-28	Edwardsiella ictaluri 93-146		93-146					GCF_000022885.2-RS_2024_11_28	Complete Genome	2012-10-16		1	Edwardsiella ictaluri
