Assembly Accession	Assembly Name	Annotation Release Date	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Species
GCF_000960995.1	ASM96099v1	2025-04-07	Burkholderia glumae LMG 2196 = ATCC 33617		ATCC 33617					GCF_000960995.1-RS_2025_04_07	Complete Genome	2015-03-24		4	Burkholderia glumae
GCF_024663775.1	ASM2466377v1	2025-04-03	Burkholderia glumae		PW30RS					GCF_024663775.1-RS_2025_04_03	Complete Genome	2022-08-15		6	Burkholderia glumae
GCF_024664095.1	ASM2466409v1	2025-04-03	Burkholderia glumae		BGR35S					GCF_024664095.1-RS_2025_04_03	Complete Genome	2022-08-15		6	Burkholderia glumae
GCF_024663975.1	ASM2466397v1	2025-04-02	Burkholderia glumae		SW2RS					GCF_024663975.1-RS_2025_04_02	Complete Genome	2022-08-15		6	Burkholderia glumae
GCF_024664035.1	ASM2466403v1	2025-04-02	Burkholderia glumae		SEW1RS					GCF_024664035.1-RS_2025_04_02	Complete Genome	2022-08-15		6	Burkholderia glumae
GCF_024662475.1	ASM2466247v1	2025-04-02	Burkholderia glumae		BGR82S					GCF_024662475.1-RS_2025_04_02	Complete Genome	2022-08-15		6	Burkholderia glumae
GCF_024662735.1	ASM2466273v1	2025-04-02	Burkholderia glumae		BGR57S					GCF_024662735.1-RS_2025_04_02	Complete Genome	2022-08-15		6	Burkholderia glumae
GCF_024662895.1	ASM2466289v1	2025-04-02	Burkholderia glumae		BGR59S					GCF_024662895.1-RS_2025_04_02	Complete Genome	2022-08-15		6	Burkholderia glumae
GCF_024663375.1	ASM2466337v1	2025-04-02	Burkholderia glumae		TW34RS					GCF_024663375.1-RS_2025_04_02	Complete Genome	2022-08-15		6	Burkholderia glumae
GCF_024663895.1	ASM2466389v1	2025-04-02	Burkholderia glumae		EW10RS					GCF_024663895.1-RS_2025_04_02	Complete Genome	2022-08-15		6	Burkholderia glumae
GCF_024664155.1	ASM2466415v1	2025-04-02	Burkholderia glumae		BGR68S					GCF_024664155.1-RS_2025_04_02	Complete Genome	2022-08-15		6	Burkholderia glumae
GCF_024664175.1	ASM2466417v1	2025-04-02	Burkholderia glumae		BGR73S					GCF_024664175.1-RS_2025_04_02	Complete Genome	2022-08-15		6	Burkholderia glumae
GCF_024663615.1	ASM2466361v1	2025-04-02	Burkholderia glumae		PERW1RS					GCF_024663615.1-RS_2025_04_02	Complete Genome	2022-08-15		6	Burkholderia glumae
GCF_024663995.1	ASM2466399v1	2025-04-02	Burkholderia glumae		POW17RS					GCF_024663995.1-RS_2025_04_02	Complete Genome	2022-08-15		6	Burkholderia glumae
GCF_024664055.1	ASM2466405v1	2025-04-02	Burkholderia glumae		BGR22S					GCF_024664055.1-RS_2025_04_02	Complete Genome	2022-08-15		6	Burkholderia glumae
GCF_024664075.1	ASM2466407v1	2025-04-02	Burkholderia glumae		BGR28S					GCF_024664075.1-RS_2025_04_02	Complete Genome	2022-08-15		6	Burkholderia glumae
GCF_024664195.1	ASM2466419v1	2025-04-02	Burkholderia glumae		YH8					GCF_024664195.1-RS_2025_04_02	Complete Genome	2022-08-15		5	Burkholderia glumae
GCF_024664115.1	ASM2466411v1	2025-04-02	Burkholderia glumae		BGR79S					GCF_024664115.1-RS_2025_04_02	Complete Genome	2022-08-15		6	Burkholderia glumae
GCF_024662455.1	ASM2466245v1	2025-04-02	Burkholderia glumae		BGR39S					GCF_024662455.1-RS_2025_04_02	Complete Genome	2022-08-15		6	Burkholderia glumae
GCF_024663015.1	ASM2466301v1	2025-04-02	Burkholderia glumae		R5					GCF_024663015.1-RS_2025_04_02	Complete Genome	2022-08-15		5	Burkholderia glumae
GCF_024663135.1	ASM2466313v1	2025-04-02	Burkholderia glumae		BGR86S					GCF_024663135.1-RS_2025_04_02	Complete Genome	2022-08-15		7	Burkholderia glumae
GCF_024664135.1	ASM2466413v1	2025-04-02	Burkholderia glumae		BGR76S					GCF_024664135.1-RS_2025_04_02	Complete Genome	2022-08-15		6	Burkholderia glumae
GCF_024664275.1	ASM2466427v1	2025-04-01	Burkholderia glumae		BGR81S					GCF_024664275.1-RS_2025_04_01	Complete Genome	2022-08-15		5	Burkholderia glumae
GCF_024662435.1	ASM2466243v1	2025-04-01	Burkholderia glumae		BGR33S					GCF_024662435.1-RS_2025_04_01	Complete Genome	2022-08-15		4	Burkholderia glumae
GCF_024662395.1	ASM2466239v1	2025-04-01	Burkholderia glumae		BGR85S					GCF_024662395.1-RS_2025_04_01	Complete Genome	2022-08-15		5	Burkholderia glumae
GCF_024663255.1	ASM2466325v1	2025-04-01	Burkholderia glumae		SL-947S					GCF_024663255.1-RS_2025_04_01	Complete Genome	2022-08-15		5	Burkholderia glumae
GCF_024664235.1	ASM2466423v1	2025-04-01	Burkholderia glumae		R2					GCF_024664235.1-RS_2025_04_01	Complete Genome	2022-08-15		5	Burkholderia glumae
GCF_024664255.1	ASM2466425v1	2025-03-31	Burkholderia glumae		SL-2395S					GCF_024664255.1-RS_2025_03_31	Complete Genome	2022-08-15		4	Burkholderia glumae
GCF_024664015.1	ASM2466401v1	2025-03-31	Burkholderia glumae		BGR19S					GCF_024664015.1-RS_2025_03_31	Complete Genome	2022-08-15		5	Burkholderia glumae
GCF_024664215.1	ASM2466421v1	2025-03-31	Burkholderia glumae		BGR48S					GCF_024664215.1-RS_2025_03_31	Complete Genome	2022-08-15		6	Burkholderia glumae
GCF_024662415.1	ASM2466241v1	2025-03-30	Burkholderia glumae		R93					GCF_024662415.1-RS_2025_03_30	Complete Genome	2022-08-15		4	Burkholderia glumae
GCF_009931375.1	ASM993137v1	2025-03-17	Burkholderia glumae		257sh-1					GCF_009931375.1-RS_2025_03_17	Complete Genome	2020-01-27		4	Burkholderia glumae
GCF_016026055.1	ASM1602605v1	2025-02-14	Burkholderia glumae		FDAARGOS_949					GCF_016026055.1-RS_2025_02_14	Complete Genome	2020-12-14		4	Burkholderia glumae
GCF_009857095.1	ASM985709v1	2025-01-29	Burkholderia glumae AU6208		AU6208					GCF_009857095.1-RS_2025_01_29	Complete Genome	2020-01-12		3	Burkholderia glumae
GCF_026651975.1	ASM2665197v1	2025-01-19	Burkholderia glumae		YH38					GCF_026651975.1-RS_2025_01_19	Complete Genome	2022-12-05		6	Burkholderia glumae
GCF_026651995.1	ASM2665199v1	2025-01-19	Burkholderia glumae		YH43					GCF_026651995.1-RS_2025_01_19	Complete Genome	2022-12-05		6	Burkholderia glumae
GCF_026652015.1	ASM2665201v1	2025-01-19	Burkholderia glumae		YH67					GCF_026652015.1-RS_2025_01_19	Complete Genome	2022-12-05		6	Burkholderia glumae
GCF_016598875.1	ASM1659887v1	2025-01-17	Burkholderia glumae		FDAARGOS_921					GCF_016598875.1-RS_2025_01_17	Complete Genome	2021-01-10		5	Burkholderia glumae
GCF_024760645.1	ASM2476064v1	2024-09-13	Burkholderia glumae		BGR80S					GCF_024760645.1-RS_2024_09_13	Complete Genome	2022-08-29		5	Burkholderia glumae
GCF_024760585.1	ASM2476058v1	2024-09-13	Burkholderia glumae		BGR13S					GCF_024760585.1-RS_2024_09_13	Complete Genome	2022-08-29		5	Burkholderia glumae
GCF_024760625.1	ASM2476062v1	2024-09-13	Burkholderia glumae		BGR21S					GCF_024760625.1-RS_2024_09_13	Complete Genome	2022-08-29		5	Burkholderia glumae
GCF_024760605.1	ASM2476060v1	2024-09-13	Burkholderia glumae		BGR15S					GCF_024760605.1-RS_2024_09_13	Complete Genome	2022-08-29		6	Burkholderia glumae
GCF_036352035.1	ASM3635203v1	2025-08-26	Burkholderia multivorans		2023CK-01339					GCF_036352035.1-RS_2025_08_26	Complete Genome	2024-02-04		3	Burkholderia multivorans
GCF_023374355.1	ASM2337435v1	2025-08-17	Burkholderia multivorans		2019Y71421880II					GCF_023374355.1-RS_2025_08_17	Complete Genome	2022-05-16		3	Burkholderia multivorans
GCF_025643495.1	ASM2564349v1	2025-08-10	Burkholderia multivorans		NML180963					GCF_025643495.1-RS_2025_08_10	Complete Genome	2022-10-11		4	Burkholderia multivorans
GCF_025643555.1	ASM2564355v1	2025-08-10	Burkholderia multivorans		NML140411					GCF_025643555.1-RS_2025_08_10	Complete Genome	2022-10-11		3	Burkholderia multivorans
GCF_000010545.1	ASM1054v1	2025-06-16	Burkholderia multivorans ATCC 17616		ATCC 17616					GCF_000010545.1-RS_2025_06_16	Complete Genome	2008-06-04		4	Burkholderia multivorans
GCF_023374495.1	ASM2337449v1	2025-05-31	Burkholderia multivorans		2016Y70910410I					GCF_023374495.1-RS_2025_05_31	Complete Genome	2022-05-16		3	Burkholderia multivorans
GCF_023374655.1	ASM2337465v1	2025-05-31	Burkholderia multivorans		2014Y70439247					GCF_023374655.1-RS_2025_05_31	Complete Genome	2022-05-16		3	Burkholderia multivorans
GCF_023374515.1	ASM2337451v1	2025-05-31	Burkholderia multivorans		2016Y70888756VI					GCF_023374515.1-RS_2025_05_31	Complete Genome	2022-05-16		4	Burkholderia multivorans
GCF_023374535.1	ASM2337453v1	2025-05-31	Burkholderia multivorans		2016Y70836300					GCF_023374535.1-RS_2025_05_31	Complete Genome	2022-05-16		3	Burkholderia multivorans
GCF_023374895.1	ASM2337489v1	2025-05-31	Burkholderia multivorans		2007Ycf875II					GCF_023374895.1-RS_2025_05_31	Complete Genome	2022-05-16		2	Burkholderia multivorans
GCF_023374795.1	ASM2337479v1	2025-05-31	Burkholderia multivorans		2010Ycf41					GCF_023374795.1-RS_2025_05_31	Complete Genome	2022-05-16		3	Burkholderia multivorans
GCF_023374615.1	ASM2337461v1	2025-05-31	Burkholderia multivorans		2014Y70522077					GCF_023374615.1-RS_2025_05_31	Complete Genome	2022-05-16		3	Burkholderia multivorans
GCF_023374455.1	ASM2337445v1	2025-05-31	Burkholderia multivorans		2017Y71078597II					GCF_023374455.1-RS_2025_05_31	Complete Genome	2022-05-16		3	Burkholderia multivorans
GCF_023374315.1	ASM2337431v1	2025-05-31	Burkholderia multivorans		2020Y71628512IV					GCF_023374315.1-RS_2025_05_31	Complete Genome	2022-05-16		3	Burkholderia multivorans
GCF_023374635.1	ASM2337463v1	2025-05-31	Burkholderia multivorans		2014Y70518672I					GCF_023374635.1-RS_2025_05_31	Complete Genome	2022-05-16		3	Burkholderia multivorans
GCF_017165175.1	ASM1716517v1	2025-04-14	Burkholderia multivorans		P2Bm2011a					GCF_017165175.1-RS_2025_04_14	Complete Genome	2021-03-04		4	Burkholderia multivorans
GCF_017165535.1	ASM1716553v1	2025-04-14	Burkholderia multivorans		P1Bm2011a					GCF_017165535.1-RS_2025_04_14	Complete Genome	2021-03-04		3	Burkholderia multivorans
GCF_017165555.1	ASM1716555v1	2025-04-14	Burkholderia multivorans		P1Bm2009					GCF_017165555.1-RS_2025_04_14	Complete Genome	2021-03-04		4	Burkholderia multivorans
GCF_003019965.1	ASM301996v1	2025-04-13	Burkholderia multivorans		FDAARGOS_246					GCF_003019965.1-RS_2025_04_13	Complete Genome	2018-03-27		3	Burkholderia multivorans
GCF_000756005.1	ASM75600v1	2025-04-13	Burkholderia multivorans		DDS 15A-1					GCF_000756005.1-RS_2025_04_13	Complete Genome	2014-09-18		3	Burkholderia multivorans
GCF_023374375.1	ASM2337437v1	2025-04-11	Burkholderia multivorans		2019Y71417852IX					GCF_023374375.1-RS_2025_04_11	Complete Genome	2022-05-16		4	Burkholderia multivorans
GCF_000959525.1	ASM95952v1	2025-04-07	Burkholderia multivorans ATCC BAA-247		BAA-247					GCF_000959525.1-RS_2025_04_07	Complete Genome	2015-03-20		3	Burkholderia multivorans
GCF_023374875.1	ASM2337487v1	2025-04-06	Burkholderia multivorans		2008Ycf542					GCF_023374875.1-RS_2025_04_06	Complete Genome	2022-05-16		4	Burkholderia multivorans
GCF_023374595.1	ASM2337459v1	2025-04-06	Burkholderia multivorans		2014Y70532416II					GCF_023374595.1-RS_2025_04_06	Complete Genome	2022-05-16		4	Burkholderia multivorans
GCF_023374415.1	ASM2337441v1	2025-04-06	Burkholderia multivorans		2017Y71087112III					GCF_023374415.1-RS_2025_04_06	Complete Genome	2022-05-16		4	Burkholderia multivorans
GCF_023373625.1	ASM2337362v1	2025-04-04	Burkholderia multivorans		2007Ycf278					GCF_023373625.1-RS_2025_04_04	Complete Genome	2022-05-16		3	Burkholderia multivorans
GCF_023373645.1	ASM2337364v1	2025-04-04	Burkholderia multivorans		2006Ycf877					GCF_023373645.1-RS_2025_04_04	Complete Genome	2022-05-16		3	Burkholderia multivorans
GCF_023374575.1	ASM2337457v1	2025-04-04	Burkholderia multivorans		2015Y70629342III					GCF_023374575.1-RS_2025_04_04	Complete Genome	2022-05-16		3	Burkholderia multivorans
GCF_008693525.1	ASM869352v1	2025-04-04	Burkholderia multivorans		FDAARGOS_622					GCF_008693525.1-RS_2025_04_04	Complete Genome	2019-09-25		3	Burkholderia multivorans
GCF_008693485.1	ASM869348v1	2025-04-04	Burkholderia multivorans		FDAARGOS_623					GCF_008693485.1-RS_2025_04_04	Complete Genome	2019-09-25		3	Burkholderia multivorans
GCF_023374775.1	ASM2337477v1	2025-04-04	Burkholderia multivorans		2010Ycf503					GCF_023374775.1-RS_2025_04_04	Complete Genome	2022-05-16		6	Burkholderia multivorans
GCF_023374435.1	ASM2337443v1	2025-04-04	Burkholderia multivorans		2017Y71079786					GCF_023374435.1-RS_2025_04_04	Complete Genome	2022-05-16		3	Burkholderia multivorans
GCF_023374735.1	ASM2337473v1	2025-04-04	Burkholderia multivorans		2010Ycf635					GCF_023374735.1-RS_2025_04_04	Complete Genome	2022-05-16		4	Burkholderia multivorans
GCF_023374695.1	ASM2337469v1	2025-04-04	Burkholderia multivorans		2011Ycf521III					GCF_023374695.1-RS_2025_04_04	Complete Genome	2022-05-16		4	Burkholderia multivorans
GCF_003812585.1	ASM381258v1	2025-04-04	Burkholderia multivorans		FDAARGOS_548					GCF_003812585.1-RS_2025_04_04	Complete Genome	2018-11-21		3	Burkholderia multivorans
GCF_023373665.1	ASM2337366v1	2025-04-01	Burkholderia multivorans		2005Ycf971III					GCF_023373665.1-RS_2025_04_01	Complete Genome	2022-05-16		3	Burkholderia multivorans
GCF_023374395.1	ASM2337439v1	2025-04-01	Burkholderia multivorans		2019Y60005016V					GCF_023374395.1-RS_2025_04_01	Complete Genome	2022-05-16		3	Burkholderia multivorans
GCF_023374815.1	ASM2337481v1	2025-03-31	Burkholderia multivorans		2010Ycf31III					GCF_023374815.1-RS_2025_03_31	Complete Genome	2022-05-16		3	Burkholderia multivorans
GCF_023374755.1	ASM2337475v1	2025-03-31	Burkholderia multivorans		2010Ycf576V					GCF_023374755.1-RS_2025_03_31	Complete Genome	2022-05-16		3	Burkholderia multivorans
GCF_023373685.1	ASM2337368v1	2025-03-31	Burkholderia multivorans		2004Ycf1069VI					GCF_023373685.1-RS_2025_03_31	Complete Genome	2022-05-16		3	Burkholderia multivorans
GCF_003812365.1	ASM381236v1	2025-03-31	Burkholderia multivorans		FDAARGOS_547					GCF_003812365.1-RS_2025_03_31	Complete Genome	2018-11-21		3	Burkholderia multivorans
GCF_017165195.1	ASM1716519v1	2025-03-31	Burkholderia multivorans		P1Bm2015					GCF_017165195.1-RS_2025_03_31	Complete Genome	2021-03-04		3	Burkholderia multivorans
GCF_017165475.1	ASM1716547v1	2025-03-30	Burkholderia multivorans		P1Bm2014					GCF_017165475.1-RS_2025_03_30	Complete Genome	2021-03-04		3	Burkholderia multivorans
GCF_017165515.1	ASM1716551v1	2025-03-30	Burkholderia multivorans		P1Bm2011b					GCF_017165515.1-RS_2025_03_30	Complete Genome	2021-03-04		3	Burkholderia multivorans
GCF_017165495.1	ASM1716549v1	2025-03-29	Burkholderia multivorans		P1Bm2012b					GCF_017165495.1-RS_2025_03_29	Complete Genome	2021-03-04		3	Burkholderia multivorans
GCF_001718755.1	ASM171875v1	2025-03-05	Burkholderia multivorans		AU1185			AU1185		GCF_001718755.1-RS_2025_03_05	Complete Genome	2016-09-02		3	Burkholderia multivorans
GCF_001718995.1	ASM171899v1	2025-03-05	Burkholderia multivorans		MSMB1640WGS					GCF_001718995.1-RS_2025_03_05	Complete Genome	2016-09-02		3	Burkholderia multivorans
GCF_009730195.1	ASM973019v1	2025-02-07	Burkholderia multivorans		FDAARGOS_722					GCF_009730195.1-RS_2025_02_07	Complete Genome	2019-12-05		3	Burkholderia multivorans
GCF_009730035.1	ASM973003v1	2025-02-07	Burkholderia multivorans		FDAARGOS_719					GCF_009730035.1-RS_2025_02_07	Complete Genome	2019-12-05		5	Burkholderia multivorans
GCF_009730175.1	ASM973017v1	2025-02-07	Burkholderia multivorans		FDAARGOS_726					GCF_009730175.1-RS_2025_02_07	Complete Genome	2019-12-05		3	Burkholderia multivorans
GCF_051560105.1	ASM5156010v1	2025-07-30	Burkholderia pseudomallei		TSV287_S					GCF_051560105.1-RS_2025_07_30	Complete Genome	2025-07-29	JBPVQO01	2	Burkholderia pseudomallei
GCF_051560125.1	ASM5156012v1	2025-07-30	Burkholderia pseudomallei		TSV140_S					GCF_051560125.1-RS_2025_07_30	Complete Genome	2025-07-29	JBPVQR01	3	Burkholderia pseudomallei
GCF_051560145.1	ASM5156014v1	2025-07-30	Burkholderia pseudomallei		TSV82_R					GCF_051560145.1-RS_2025_07_30	Complete Genome	2025-07-29	JBPVQS01	2	Burkholderia pseudomallei
GCF_051560065.1	ASM5156006v1	2025-07-30	Burkholderia pseudomallei		TSV268_S					GCF_051560065.1-RS_2025_07_30	Complete Genome	2025-07-29	JBPVQQ01	2	Burkholderia pseudomallei
GCF_051560085.1	ASM5156008v1	2025-07-30	Burkholderia pseudomallei		TSV270_S					GCF_051560085.1-RS_2025_07_30	Complete Genome	2025-07-29	JBPVQP01	2	Burkholderia pseudomallei
GCF_004348075.1	ASM434807v1	2025-07-23	Burkholderia pseudomallei		BPs116					GCF_004348075.1-RS_2025_07_23	Complete Genome	2019-03-13		2	Burkholderia pseudomallei
GCF_004367705.1	ASM436770v1	2025-07-23	Burkholderia pseudomallei		BPs112			Melioidosis patient		GCF_004367705.1-RS_2025_07_23	Complete Genome	2019-03-23		2	Burkholderia pseudomallei
GCF_004367725.1	ASM436772v1	2025-07-23	Burkholderia pseudomallei		BPs133			Melioidosis patient		GCF_004367725.1-RS_2025_07_23	Complete Genome	2019-03-23		2	Burkholderia pseudomallei
GCF_018228525.1	ASM1822852v1	2025-07-20	Burkholderia pseudomallei		N2					GCF_018228525.1-RS_2025_07_20	Complete Genome	2021-05-03		3	Burkholderia pseudomallei
GCF_018228385.1	ASM1822838v1	2025-07-20	Burkholderia pseudomallei		BD5					GCF_018228385.1-RS_2025_07_20	Complete Genome	2021-05-03		3	Burkholderia pseudomallei
GCF_018228605.1	ASM1822860v1	2025-07-20	Burkholderia pseudomallei		AW17-22					GCF_018228605.1-RS_2025_07_20	Complete Genome	2021-05-03		3	Burkholderia pseudomallei
GCF_018228585.1	ASM1822858v1	2025-07-20	Burkholderia pseudomallei		AW44					GCF_018228585.1-RS_2025_07_20	Complete Genome	2021-05-03		3	Burkholderia pseudomallei
GCF_018228345.1	ASM1822834v1	2025-07-20	Burkholderia pseudomallei		WC19					GCF_018228345.1-RS_2025_07_20	Complete Genome	2021-05-03		3	Burkholderia pseudomallei
GCF_018228565.1	ASM1822856v1	2025-07-20	Burkholderia pseudomallei		AW17-23					GCF_018228565.1-RS_2025_07_20	Complete Genome	2021-05-03		3	Burkholderia pseudomallei
GCF_018228545.1	ASM1822854v1	2025-07-20	Burkholderia pseudomallei		AW9					GCF_018228545.1-RS_2025_07_20	Complete Genome	2021-05-03		3	Burkholderia pseudomallei
GCF_003798265.1	ASM379826v1	2025-07-16	Burkholderia pseudomallei		FDAARGOS_592					GCF_003798265.1-RS_2025_07_16	Complete Genome	2018-11-20		2	Burkholderia pseudomallei
GCF_003445415.1	ASM344541v1	2025-07-07	Burkholderia pseudomallei		BEK					GCF_003445415.1-RS_2025_07_07	Complete Genome	2014-09-18		2	Burkholderia pseudomallei
GCF_018771365.1	ASM1877136v1	2025-06-25	Burkholderia pseudomallei		VBP21822					GCF_018771365.1-RS_2025_06_25	Complete Genome	2021-06-08		4	Burkholderia pseudomallei
GCF_030297255.1	ASM3029725v1	2025-06-21	Burkholderia pseudomallei		GTC3P0254T					GCF_030297255.1-RS_2025_06_21	Complete Genome	2023-05-16		2	Burkholderia pseudomallei
GCF_030297335.1	ASM3029733v1	2025-06-21	Burkholderia pseudomallei		KM390					GCF_030297335.1-RS_2025_06_21	Complete Genome	2023-05-16		2	Burkholderia pseudomallei
GCF_030297215.1	ASM3029721v1	2025-06-21	Burkholderia pseudomallei		GTC3P0050					GCF_030297215.1-RS_2025_06_21	Complete Genome	2023-05-16		2	Burkholderia pseudomallei
GCF_030297235.1	ASM3029723v1	2025-06-21	Burkholderia pseudomallei		GTC3P0054					GCF_030297235.1-RS_2025_06_21	Complete Genome	2023-05-16		2	Burkholderia pseudomallei
GCF_030297275.1	ASM3029727v1	2025-06-21	Burkholderia pseudomallei		Kanagawa					GCF_030297275.1-RS_2025_06_21	Complete Genome	2023-05-16		2	Burkholderia pseudomallei
GCF_030297295.1	ASM3029729v1	2025-06-21	Burkholderia pseudomallei		Tokushima					GCF_030297295.1-RS_2025_06_21	Complete Genome	2023-05-16		2	Burkholderia pseudomallei
GCF_030297195.1	ASM3029719v1	2025-06-21	Burkholderia pseudomallei		GTC3P0019					GCF_030297195.1-RS_2025_06_21	Complete Genome	2023-05-16		2	Burkholderia pseudomallei
GCF_030297355.1	ASM3029735v1	2025-06-21	Burkholderia pseudomallei		KM391					GCF_030297355.1-RS_2025_06_21	Complete Genome	2023-05-16		2	Burkholderia pseudomallei
GCF_030297315.1	ASM3029731v1	2025-06-21	Burkholderia pseudomallei		KM376					GCF_030297315.1-RS_2025_06_21	Complete Genome	2023-05-16		3	Burkholderia pseudomallei
GCF_038983115.1	ASM3898311v1	2025-05-26	Burkholderia pseudomallei		SCBP007					GCF_038983115.1-RS_2025_05_26	Complete Genome	2024-05-01	JAQIYQ01	2	Burkholderia pseudomallei
GCF_038983225.1	ASM3898322v1	2025-05-26	Burkholderia pseudomallei		SCBP001					GCF_038983225.1-RS_2025_05_26	Complete Genome	2024-05-01	JAQIYP01	2	Burkholderia pseudomallei
GCF_050320195.1	UFBP490F	2025-05-13	Burkholderia pseudomallei		490f					GCF_050320195.1-RS_2025_05_13	Complete Genome	2025-05-14		2	Burkholderia pseudomallei
GCF_016864355.1	ASM1686435v1	2025-04-20	Burkholderia pseudomallei		VB29710					GCF_016864355.1-RS_2025_04_20	Complete Genome	2021-02-11		2	Burkholderia pseudomallei
GCF_017378355.1	ASM1737835v1	2025-04-20	Burkholderia pseudomallei		VBP21885					GCF_017378355.1-RS_2025_04_20	Complete Genome	2021-03-18		2	Burkholderia pseudomallei
GCF_017378235.1	ASM1737823v1	2025-04-20	Burkholderia pseudomallei		VBM23831					GCF_017378235.1-RS_2025_04_20	Complete Genome	2021-03-18		3	Burkholderia pseudomallei
GCF_004367685.1	ASM436768v1	2025-04-19	Burkholderia pseudomallei		BPs123					GCF_004367685.1-RS_2025_04_19	Complete Genome	2019-03-23		2	Burkholderia pseudomallei
GCF_004348055.1	ASM434805v1	2025-04-19	Burkholderia pseudomallei		BPs115					GCF_004348055.1-RS_2025_04_19	Complete Genome	2019-03-13		2	Burkholderia pseudomallei
GCF_004367665.1	ASM436766v1	2025-04-19	Burkholderia pseudomallei		BPs114					GCF_004367665.1-RS_2025_04_19	Complete Genome	2019-03-23		2	Burkholderia pseudomallei
GCF_017378195.1	ASM1737819v1	2025-04-16	Burkholderia pseudomallei		VBM21885					GCF_017378195.1-RS_2025_04_16	Complete Genome	2021-03-18		2	Burkholderia pseudomallei
GCF_017378275.1	ASM1737827v1	2025-04-16	Burkholderia pseudomallei		VBP399					GCF_017378275.1-RS_2025_04_16	Complete Genome	2021-03-18		2	Burkholderia pseudomallei
GCF_017378155.1	ASM1737815v1	2025-04-16	Burkholderia pseudomallei		VBM21822					GCF_017378155.1-RS_2025_04_16	Complete Genome	2021-03-18		3	Burkholderia pseudomallei
GCF_017378435.1	ASM1737843v1	2025-04-16	Burkholderia pseudomallei		VBP23831					GCF_017378435.1-RS_2025_04_16	Complete Genome	2021-03-18		2	Burkholderia pseudomallei
GCF_004323015.1	ASM432301v1	2025-04-11	Burkholderia pseudomallei		BPs110					GCF_004323015.1-RS_2025_04_11	Complete Genome	2019-03-04		2	Burkholderia pseudomallei
GCF_004323035.1	ASM432303v1	2025-04-11	Burkholderia pseudomallei		BPs111					GCF_004323035.1-RS_2025_04_11	Complete Genome	2019-03-04		2	Burkholderia pseudomallei
GCF_000757015.2	ASM75701v2	2025-04-07	Burkholderia pseudomallei		PHLS 112					GCF_000757015.2-RS_2025_04_07	Complete Genome	2015-03-20		2	Burkholderia pseudomallei
GCF_000959305.1	ASM95930v1	2025-04-07	Burkholderia pseudomallei		MSHR668					GCF_000959305.1-RS_2025_04_07	Complete Genome	2015-03-20		2	Burkholderia pseudomallei
GCF_000959285.1	ASM95928v1	2025-04-07	Burkholderia pseudomallei K96243		K96243					GCF_000959285.1-RS_2025_04_07	Complete Genome	2015-03-20		2	Burkholderia pseudomallei
GCF_000959145.1	ASM95914v1	2025-04-07	Burkholderia pseudomallei 406e		406E					GCF_000959145.1-RS_2025_04_07	Complete Genome	2015-03-20		2	Burkholderia pseudomallei
GCF_000959125.1	ASM95912v1	2025-04-07	Burkholderia pseudomallei 1026b		1026b					GCF_000959125.1-RS_2025_04_07	Complete Genome	2015-03-20		2	Burkholderia pseudomallei
GCF_000757035.2	ASM75703v2	2025-04-07	Burkholderia pseudomallei Pasteur 52237		Pasteur 52237					GCF_000757035.2-RS_2025_04_07	Complete Genome	2015-03-20		2	Burkholderia pseudomallei
GCF_000959265.1	ASM95926v1	2025-04-07	Burkholderia pseudomallei 7894		7894					GCF_000959265.1-RS_2025_04_07	Complete Genome	2015-03-20		2	Burkholderia pseudomallei
GCF_000959225.1	ASM95922v1	2025-04-07	Burkholderia pseudomallei MSHR2543		MSHR2543					GCF_000959225.1-RS_2025_04_07	Complete Genome	2015-03-20		2	Burkholderia pseudomallei
GCF_024599655.1	ASM2459965v1	2025-08-24	Enterobacter asburiae		R_A5.MM					GCF_024599655.1-RS_2025_08_24	Complete Genome	2022-08-09		1	Enterobacter asburiae
GCF_052039465.1	ASM5203946v1	2025-08-15	Enterobacter asburiae		NY14333					GCF_052039465.1-RS_2025_08_15	Complete Genome	2025-08-16		3	Enterobacter asburiae
GCF_051903055.1	ASM5190305v1	2025-08-08	Enterobacter asburiae		NY14272					GCF_051903055.1-RS_2025_08_08	Complete Genome	2025-08-09		4	Enterobacter asburiae
GCF_030505295.1	ASM3050529v1	2025-07-18	Enterobacter asburiae		IK3					GCF_030505295.1-RS_2025_07_18	Complete Genome	2023-07-19		5	Enterobacter asburiae
GCF_030444575.1	ASM3044457v1	2025-07-16	Enterobacter asburiae		BP16m1					GCF_030444575.1-RS_2025_07_16	Complete Genome	2023-07-13		3	Enterobacter asburiae
GCF_030444555.1	ASM3044455v1	2025-07-16	Enterobacter asburiae		MP4m4					GCF_030444555.1-RS_2025_07_16	Complete Genome	2023-07-13		3	Enterobacter asburiae
GCF_030444535.1	ASM3044453v1	2025-07-16	Enterobacter asburiae		MO13m20					GCF_030444535.1-RS_2025_07_16	Complete Genome	2023-07-13		14	Enterobacter asburiae
